id,prov,city,dist,loc,priceWan,area,rent,updated
1,黑龙江,鹤岗,兴安区,峻德小区,1.35,60,250,2026-04
2,黑龙江,双鸭山,集贤县,东荣小区,2,50,350,2026-04
3,黑龙江,伊春市,美溪区,水苑小区,3.4,40,300,2026-04
4,黑龙江,大庆市,红岗区,杏五井小区,1.8,40,290,2026-03
5,黑龙江,七台河市,桃山区,林苑之星,3,50,400,2026-03
6,黑龙江,齐齐哈尔市,富拉尔基区,北玻社区,3.3,61,370,2026-04
7,黑龙江,牡丹江市,阳明区,二发电家属区,1.88,50,200,2026-04
8,黑龙江,黑河市,北安区,电厂小区,5,30,230,2026-04
9,黑龙江,绥化市,北林区,二处小区,2.2,50,300,2026-04
10,黑龙江,大兴安岭地区,加格达奇区,西虹苑,3.9,38,380,2026-04
11,黑龙江,佳木斯市,东风区,发电小区,2.6,52,300,2026-03
12,黑龙江,鸡西市,滴道区,丽景家园,3,54,333,2026-04
13,吉林,松原市,宁江区,吉祥家园,3.7,43,300,2026-04
14,吉林,四平市,铁东区,马车房小区,3,46,260,2026-04
15,吉林,辽源市,西安区,仙城小区,3.3,42,320,2026-04
16,吉林,延边州-龙井市,龙井市区,龙延世家,2.8,50,350,2026-04
17,吉林,延边州-延吉市,河南区,华兴小区,3.5,50,350,2026-03
18,吉林,延边州-图们市,图们市区,月宫小区,4,40,200,2026-04
19,吉林,延边州-珲春市,靖和街道,靖园小区,5.6,70,500,2026-04
20,吉林,长春市-公主岭市,公主岭城区,温馨家园,6.98,50,380,2026-04
21,吉林,白山市,浑江区,向阳佳园,7.2,60,400,2026-04
22,辽宁,铁岭市,银州区,白塔小区,3,42,370,2026-04
23,辽宁,锦州市,太和区,电厂家属院,2.5,45,300,2026-04
24,辽宁,阜新市,太平城区,城南热电厂,1.9,50,333,2026-03
25,辽宁,辽阳市,文圣区,窑地兴旺社区,3.9,45,400,2026-04
26,辽宁,营口市,鲅鱼圈,东城怡景,2.9,50,250,2026-04
27,辽宁,葫芦岛市,绥中区,碧海家园,2,20,300,2026-04
28,河北,石家庄,平山温塘镇,阳光河谷,8,40,400,2026-03
29,河南,鹤壁市,鹤山区,链条厂家属楼,1.2,60,350,2026-03
30,河南,鹤壁市,山城区,棉纺厂,1.8,60,200,2026-03
31,河南,郑州市-荥阳市,洞林湖,新颖创客公社,8,54,650,2026-03
32,河南,郑州市-荥阳市,洞林湖,新田城甲壳虫公寓,6.5,28,450,2026-03
33,河南,郑州市-中牟县,中牟市区,中茂新悦城,10,65,600,2026-03
34,河南,郑州市-中牟县,中牟市区,融信城市之窗,7,60,400,2026-04
35,河南,郑州市,中原区,D+公寓,9.5,30,600,2026-03
36,河南,郑州市,新郑区-龙湖华南城,居易国际城,10,35,450,2026-02
37,河南,郑州市,上街区,百合佳苑,4.5,80,450,2026-03
38,河南,洛阳市,瀍河区,恒大绿洲小,10,48,500,2026-03
39,河南,南阳市,唐河县,油田基地小区,10,45,1000,2026-04
40,山东,烟台市-海阳市,丁字湾滨海度假区,碧桂园十里金滩海悦湾,7.3,55,600,2026-03
41,山东,烟台市-龙口市,东海旅游度假区,悦海居,3.8,50,380,2026-03
42,山东,威海市-乳山市,银滩,山海天一区,2.98,40,450,2026-03
43,山东,威海市-荣成市,成山镇,湖悦成山,6,77.9,800,2026-02
44,山东,威海市-荣成市,文登区 南海新区,翡翠城,6,48,400,2026-02
45,山东,威海市-荣成市,文登区 南海新区,金海滩阳光城,7,52,400,2026-03
46,山东,威海市-荣成市,石岛,凤凰湖D区,6,75,700,2026-01
47,山东,威海市-荣成市,石岛,盛泉小区,4.8,109,550,2026-01
48,山东,日照市,东港 老城区,正阳社区,6,40,400,2026-03
49,山东,淄博市,博山区,阳光花园,4.8,83,500,2026-03
50,山东,泰安市-肥城市,肥城周边,杨庄矿宿舍,1.5,65,200,2026-03
51,安徽,滁州市,南谯区,碧桂园欧洲城,5.8,60,600,2026-03
52,安徽,滁州市,全椒县,十字镇九里蓝湾,8.8,80,400,2026-04
53,安徽,滁州市,全椒县,碧桂园罗马世纪城,10,83,600,2026-04
54,北京,北京市,海淀区,交大东路56号院,450,58,6800,2026-06
55,安徽,马鞍山市,和县 石杨镇,碧桂园如山湖城,9.5,52,300,2026-04
56,安徽,淮南市,谢家集,新工村,4.2,60,280,2026-04
57,安徽,淮南市,八公山区,矿南村 新建小区,2.2,41,500,2026-03
58,安徽,六安市,舒城县 杭埠镇,新滨湖恒大文化城,9,38,600,2026-04
59,安徽,芜湖市,湾沚区,银燕山庄,8.8,95,500,2026-03
60,上海,崇明区,城桥镇,南坝新村,10,40,900,2026-04
61,江苏,南通市,启东市,绿地长岛,10.8,59,800,2026-04
62,江苏,南通市,启东市,恒大海上威尼斯北区,11,60,700,2026-03
63,江苏,镇江市-句容市,中央广场,金源商贸城,10,50,700,2026-03
64,江苏,连云港市,连云区,连云港老街住宅楼,6.9,29.7,400,2026-03
65,广东,惠州市,大亚湾 澳头,唯家大厦,8.3,38,380,2026-03
66,广东,惠州市,大亚湾 霞涌,泡泡海家园,15,40,960,2026-03
67,广东,惠州市,惠东区 巽寮湾,红树湾畔,10.7,50,680,2026-01
68,广东,惠州市,惠东区 稔山,富力湾,12,47,450,2026-03
69,广东,阳江市,海陵岛,阳光水恋,8.8,30,600,2026-03
70,广东,阳江市,海陵岛,恒大御景湾,12,30,600,2026-01
71,广东,阳江市,月亮湾,碧桂园,10,45,600,2026-04
72,广东,肇庆市,鼎湖区,碧桂园幸福里,4.3,52,600,2026-03
73,广东,肇庆市,高要区,恒大世纪梦幻城,5,22,350,2026-03
74,广东,清远市,清城区,百加综合楼,4.79,30,600,2026-04
75,广东,清远市,清城区,北部万科城,15,50,600,2026-03
76,广东,清远市,清城区 飞来湖,庙园一街,10.8,52,800,2026-03
77,广东,清远市,清新区,美林湖,6.6,40,660,2026-02
78,广东,清远市,清新区,恒大金碧天下,6.8,39,650,2026-03
79,广西,北海市,银海 金海岸,碧雅苑,7,40,400,2026-03
80,广西,钦州市,钦北区,海润百利尊品,9,30,500,2026-03
81,广西,防城港市,港口 桃花湾广场,斯壮大厦,8,39,300,2026-03
82,广西,百色市,田阳区 解放东路,城东左侧地产开发东面,10,60,200,2026-03
83,福建,漳州市,长泰县,鸿鑫财富广场,6.8,40,350,2026-03
84,福建,漳州市,漳州港,海湾太武城,10,30,300,2026-04
85,重庆,长寿,长寿湖,恒大湖山半岛,10.8,56,500,2026-03
86,重庆,长寿,凤城街道,查家湾,3.5,51,300,2026-03
87,重庆,荣昌区,城区工人村,武城家园,8.9,59,400,2026-04
88,重庆,丰都县,南天湖,金竹苑森林康养旅游度假区,10,50,800,2026-03
89,贵州,遵义市-赤水市,市府路,华平玉竹休闲度假村,6.5,44.3,300,2026-03
90,贵州,遵义市,红花岗,瑞安世纪新城,6.98,20,400,2026-04
91,贵州,贵阳市,花溪 贵安新区,泰豪e时代,8,32.7,600,2026-03
92,贵州,安顺市,平坝 白云镇,新艺机械厂福利区,8,56.6,500,2026-03
93,贵州,六盘水市,钟山区 新世纪广场,兴民小区,8.5,70,500,2026-04
94,贵州,铜仁市,碧江区,矮屯社区,9.8,60,400,2026-03
